,"GEO_city,state",year,MWE,MWE_Occupation Type_code,MWE_Occupation Type,MWE_Skill Level,MWE_How Paid,cityid,cityname,stateabbrev,statename,statefips,lat,lon,city_pop2019
90,"Boise, ID",2019,42.87,230000,Legal occupations,All levels,Full-time,49,Boise,ID,Idaho,16,43.62,-116.2,481587
91,"Boise, ID",2019,10.55,250000,Educational instruction and library occupations,Level 03,All workers,49,Boise,ID,Idaho,16,43.62,-116.2,481587
92,"Boise, ID",2019,27.10,270000,"Arts, design, entertainment, sports, and media occupations",All levels,Full-time,49,Boise,ID,Idaho,16,43.62,-116.2,481587
93,"Boise, ID",2019,40.01,290000,Healthcare practitioners and technical occupations,All levels,Full-time,49,Boise,ID,Idaho,16,43.62,-116.2,481587
94,"Boise, ID",2019,15.17,310000,Healthcare support occupations,All levels,Full-time,49,Boise,ID,Idaho,16,43.62,-116.2,481587
95,"Boise, ID",2019,23.08,330000,Protective service occupations,All levels,Full-time,49,Boise,ID,Idaho,16,43.62,-116.2,481587
96,"Boise, ID",2019,12.27,350000,Food preparation and serving related occupations,All levels,Full-time,49,Boise,ID,Idaho,16,43.62,-116.2,481587
97,"Boise, ID",2019,14.54,370000,Building and grounds cleaning and maintenance occupations,All levels,Full-time,49,Boise,ID,Idaho,16,43.62,-116.2,481587
98,"Boise, ID",2019,17.51,390000,Personal care and service occupations,All levels,Full-time,49,Boise,ID,Idaho,16,43.62,-116.2,481587
99,"Boise, ID",2019,24.18,410000,Sales and related occupations,All levels,Full-time,49,Boise,ID,Idaho,16,43.62,-116.2,481587
100,"Boise, ID",2019,18.83,430000,Office and administrative support occupations,All levels,Full-time,49,Boise,ID,Idaho,16,43.62,-116.2,481587
101,"Boise, ID",2019,20.65,470000,Construction and extraction occupations,All levels,Full-time,49,Boise,ID,Idaho,16,43.62,-116.2,481587
102,"Boise, ID",2019,22.14,490000,"Installation, maintenance, and repair occupations",All levels,Full-time,49,Boise,ID,Idaho,16,43.62,-116.2,481587
103,"Boise, ID",2019,18.26,510000,Production occupations,All levels,Full-time,49,Boise,ID,Idaho,16,43.62,-116.2,481587
104,"Boise, ID",2019,18.81,530000,Transportation and material moving occupations,All levels,Full-time,49,Boise,ID,Idaho,16,43.62,-116.2,481587
